id,name,category,brand,price,currency,on_sale,in_stock,type,image_file,permalink
9574,Ryot Piper Carbon Series (New),ACCESSORIES,,47.95,AUD,false,true,variable,images/ryot-piper-carbon-series-new-2.jpg,https://aussievapemart.com.au/product/ryot-piper-carbon-series-new-2/
9545,Ryot 35cm Axe Pack W/ SmellSafe Technology,ACCESSORIES,,129.95,AUD,false,true,simple,images/ryot-35cm-axe-pack-w-smellsafe-technology-2.jpg,https://aussievapemart.com.au/product/ryot-35cm-axe-pack-w-smellsafe-technology-2/
9544,Ryot 4L Safe Case Carbon Series Large,ACCESSORIES,,96.5,AUD,false,true,variable,images/ryot-4l-safe-case-carbon-series-large-2.jpg,https://aussievapemart.com.au/product/ryot-4l-safe-case-carbon-series-large-2/
9543,Ryot 2.3L Safe Case Carbon Series Small,ACCESSORIES,,79.99,AUD,false,true,simple,images/ryot-2-3l-safe-case-carbon-series-small-2.jpg,https://aussievapemart.com.au/product/ryot-2-3l-safe-case-carbon-series-small-2/
9542,Ryot Slym Case W/ Smell Safe Technology,ACCESSORIES,,39.95,AUD,false,true,variable,images/ryot-slym-case-w-smell-safe-technology-2.jpg,https://aussievapemart.com.au/product/ryot-slym-case-w-smell-safe-technology-2/
9541,Ryot SmellSafe Hard Shell Krypto-Kit,ACCESSORIES,,38.95,AUD,false,true,variable,images/ryot-smellsafe-hard-shell-krypto-kit-2.jpg,https://aussievapemart.com.au/product/ryot-smellsafe-hard-shell-krypto-kit-2/
9540,Ryot SmellSafe Krypto-Kit,ACCESSORIES,,37.95,AUD,false,true,variable,images/ryot-smellsafe-krypto-kit-2.jpg,https://aussievapemart.com.au/product/ryot-smellsafe-krypto-kit-2/
9539,Dynavap Hemp Shield Zipper Case,ACCESSORIES,,19.5,AUD,false,true,simple,images/dynavap-hemp-shield-zipper-case-2.jpg,https://aussievapemart.com.au/product/dynavap-hemp-shield-zipper-case-2/
9538,Dynavap Hard Shell Storage Case,ACCESSORIES,,89.95,AUD,false,true,simple,images/dynavap-hard-shell-storage-case-2.jpg,https://aussievapemart.com.au/product/dynavap-hard-shell-storage-case-2/
9537,Ryot Waist Pack,ACCESSORIES,,59.95,AUD,false,true,simple,images/ryot-waist-pack-2.jpg,https://aussievapemart.com.au/product/ryot-waist-pack-2/
9535,OG Brick Replacement Glass Kit,ACCESSORIES,,36.95,AUD,false,true,simple,images/og-brick-replacement-glass-kit-2.jpg,https://aussievapemart.com.au/product/og-brick-replacement-glass-kit-2/
9534,FIERCE Bent Glass Mouthpiece,ACCESSORIES,,24.95,AUD,false,true,simple,images/fierce-bent-glass-mouthpiece-2.jpg,https://aussievapemart.com.au/product/fierce-bent-glass-mouthpiece-2/
9533,Flip Brick Replacement O-ring Pack,ACCESSORIES,,6.95,AUD,false,true,simple,images/flip-brick-replacement-o-ring-pack-2.jpg,https://aussievapemart.com.au/product/flip-brick-replacement-o-ring-pack-2/
9532,HydroBrick Maxx Replacement O-ring Pack,ACCESSORIES,,9.95,AUD,false,true,simple,images/hydrobrick-maxx-replacement-o-ring-pack-2.jpg,https://aussievapemart.com.au/product/hydrobrick-maxx-replacement-o-ring-pack-2/
9530,V-ONE + Glass Dome,ACCESSORIES,,9.99,AUD,false,true,simple,images/v-one-glass-dome-2.jpg,https://aussievapemart.com.au/product/v-one-glass-dome-2/
9529,OG Brick Replacement O-Ring Pack,ACCESSORIES,,9.95,AUD,false,true,simple,images/og-brick-replacement-o-ring-pack-2.jpg,https://aussievapemart.com.au/product/og-brick-replacement-o-ring-pack-2/
9528,OG Brick &#038; HydroBrick Flame Intake,ACCESSORIES,,14.95,AUD,false,true,simple,images/og-brick-hydrobrick-flame-intake-2.jpg,https://aussievapemart.com.au/product/og-brick-hydrobrick-flame-intake-2/
9527,Black 18mm Glass Dry Mouthpiece,ACCESSORIES,,34.95,AUD,false,true,simple,images/black-18mm-glass-dry-mouthpiece-2.jpg,https://aussievapemart.com.au/product/black-18mm-glass-dry-mouthpiece-2/
9526,14mm Stem for HydroBrick/Maxx/Flip Brick/HotRod Injector,ACCESSORIES,,21.95,AUD,false,true,simple,images/14mm-stem-for-hydrobrick-maxx-flip-brick-hotrod-injector-2.jpg,https://aussievapemart.com.au/product/14mm-stem-for-hydrobrick-maxx-flip-brick-hotrod-injector-2/
9525,Junior Glass Mouthpiece,ACCESSORIES,,23.95,AUD,false,true,simple,images/junior-glass-mouthpiece-2.jpg,https://aussievapemart.com.au/product/junior-glass-mouthpiece-2/
9522,Junior/Runt O-ring Pack,ACCESSORIES,,6.95,AUD,false,true,simple,images/junior-runt-o-ring-pack-2.jpg,https://aussievapemart.com.au/product/junior-runt-o-ring-pack-2/
