name,price,supplier_url
"ACE HONEDEW HARMONY",35,https://aussievapemart.com.au/product/ace-honedew-harmony/
"ACE JELLY RANCHER",30,https://aussievapemart.com.au/product/ace-jelly-rancher/
"ACE CHERRY VANILLA SWIRL",30,https://aussievapemart.com.au/product/ace-cherry-vanilla-swirl/
"ACE BERRY CHILL",30,https://aussievapemart.com.au/product/ace-berry-chill/
"Ace Ultra Premium 4G Disposable",40,https://aussievapemart.com.au/product/ace-ultra-premium-4g-disposable/
"ACE ACAPULCO SUNRISE",30,https://aussievapemart.com.au/product/ace-acapulco-sunrise/
"ACE ALIEN ELECTRIC GREEN APPLE",29.99,https://aussievapemart.com.au/product/ace-alien-electric-green-apple/
"ACE COOL BREEZE",29.99,https://aussievapemart.com.au/product/ace-cool-breeze/
"MUHA MEDS STARBURST RUNTZ | INDICA",23,https://aussievapemart.com.au/product/muha-meds-starburst-runtz-indica/
"MUHA MEDS WHITE RASPBERRY 3500 MG DISPOSABLE| INDICA",34.99,https://aussievapemart.com.au/product/muha-meds-white-raspberry-3500-mg-disposable-indica/
"MUHA MEDS RAINBOW BELTS 3500 MG DISPOSABLE",34,https://aussievapemart.com.au/product/muha-meds-rainbow-belts-3500-mg-disposable/
"MUHA MEDS PURPLE CHAMPAGNE 3500 MG DISPOSABLE| SATIVA",35,https://aussievapemart.com.au/product/muha-meds-purple-champagne-3500-mg-disposable-sativa/
"MUHA MEDS VENOM OG 3500 MG DISPOSABLE| HYBRID",32,https://aussievapemart.com.au/product/muha-meds-venom-og-3500-mg-disposable-hybrid/
"MUHA MEDS TRUFFLE BUTTER 3500 MG DISPOSABLE",35,https://aussievapemart.com.au/product/muha-meds-truffle-butter-3500-mg-disposable/
"MUHA MEDS MANGO PEACH RINGS 3500 MG DISPOSABLE| HYBRID",34,https://aussievapemart.com.au/product/muha-meds-mango-peach-rings-3500-mg-disposable-hybrid/
"MUHA MEDS JEDI KUSH 3500 MG DISPOSABLE| INDICA",35,https://aussievapemart.com.au/product/muha-meds-jedi-kush-3500-mg-disposable-indica/
"MUHA MEDS LAVENDER HAZE 3500 MG DISPOSABLE| SATIVA",31,https://aussievapemart.com.au/product/muha-meds-lavender-haze-3500-mg-disposable-sativa/
"MUHA MEDS CITRUS TSUNAMI 3500 MG DISPOSABLE| SATIVA",33,https://aussievapemart.com.au/product/muha-meds-citrus-tsunami-3500-mg-disposable-sativa/
"Watermelon OG Muha Meds Disposable",23,https://aussievapemart.com.au/product/watermelon-og-muha-meds-disposable/
"Strawberry Cough Muha Meds Disposable",23,https://aussievapemart.com.au/product/strawberry-cough-muha-meds-disposable/
"TROPICANA CHERRY | SATIVA",24.99,https://aussievapemart.com.au/product/tropicana-cherry-sativa/
"Super Sour Diesel Muha Meds Disposable",25,https://aussievapemart.com.au/product/super-sour-diesel-muha-meds-disposable/
"Pineapple Express Muha Meds Disposable",24,https://aussievapemart.com.au/product/pineapple-express-muha-meds-disposable/
"SKYWALKER OG Muha Meds Disposable",23,https://aussievapemart.com.au/product/skywalker-og-muha-meds-disposable/
"PARADISE PUNCH OG | INDICA",22,https://aussievapemart.com.au/product/paradise-punch-og-indica/
"Lavender Lemon Lift Muha Meds Disposable",27,https://aussievapemart.com.au/product/lavender-lemon-lift-muha-meds-disposable/
"MANGO MADNESS | HYBRID",25,https://aussievapemart.com.au/product/mango-madness-hybrid/
"MIMOSA | SATIVA",23,https://aussievapemart.com.au/product/mimosa-sativa/
"GREEN APPLE ELIXIR Muha Meds Disposable",25,https://aussievapemart.com.au/product/green-apple-elixir-muha-meds-disposable/
"GRAND DADDY PURP Muha Meds Disposable",24,https://aussievapemart.com.au/product/grand-daddy-purp-muha-meds-disposable/
"Cereal Milk Muha Meds Melted Diamonds 3.5G",33,https://aussievapemart.com.au/product/cereal-milk-muha-meds-melted-diamonds-3-5g/
"FATSO Muha Meds Mavricks",25,https://aussievapemart.com.au/product/fatso-muha-meds-mavricks/
"DONNIE BURGER Muha Meds Mavricks",25,https://aussievapemart.com.au/product/donnie-burger-muha-meds-mavricks/
"BLUE SLUSHIE Muha Meds Disposable",24,https://aussievapemart.com.au/product/blue-slushie-muha-meds-disposable/
"Geek Bar Pulse Cool Mint 15000 Puffs",30,https://aussievapemart.com.au/product/geek-bar-pulse-cool-mint-15000-puffs/
"Tropical Rainbow Blast Geek Bar Pulse 15000 puffs",19.99,https://aussievapemart.com.au/product/tropical-rainbow-blast-geek-bar-pulse-15000-puffs/
"White Gummy Ice Geek Bar Pulse 15000 puffs",20,https://aussievapemart.com.au/product/white-gummy-ice-geek-bar-pulse-15000-puffs/
"Geek Bar Pulse Strawberry Banana 15000 puffs",20,https://aussievapemart.com.au/product/geek-bar-pulse-strawberry-banana-15000-puffs/
"Geek Bar Pulse Strawberry Mango Disposable Vape 15,000 puffs",20,https://aussievapemart.com.au/product/geek-bar-pulse-strawberry-mango-disposable-vape-15000-puffs/
"Geek Bar Pulse Pink Lemonade Vape 15000 Puffs",19,https://aussievapemart.com.au/product/geek-bar-pulse-pink-lemonade-vape-15000-puffs/
"Geek Bar Pulse Mexican Mango Vape 15000 Puffs",20,https://aussievapemart.com.au/product/geek-bar-pulse-mexican-mango-vape-15000-puffs/
"Geek Bar Pulse Miami Mint Vape 15000 Puffs",20,https://aussievapemart.com.au/product/geek-bar-pulse-miami-mint-vape-15000-puffs/
"Geek Bar Pulse Blow Pop Vape 15000 Puffs",30,https://aussievapemart.com.au/product/geek-bar-pulse-blow-pop-vape-15000-puffs/
"Geek Bar Pulse Meta Moon Vape 15000 Puffs",29,https://aussievapemart.com.au/product/geek-bar-pulse-meta-moon-vape-15000-puffs/
"Juicy Peach Ice Geek Bar Pulse",30,https://aussievapemart.com.au/product/juicy-peach-ice-geek-bar-pulse/
"Geek Bar Pulse Fcuking Fabulous 15000 Disposable Vape",30,https://aussievapemart.com.au/product/geek-bar-pulse-fcuking-fabulous-15000-disposable-vape/
"GEEK BAR PULSE TOBACCO",29,https://aussievapemart.com.au/product/geek-bar-pulse-tobacco/
"Watermelon Ice Geek Bar Pulse Disposable Vape",30,https://aussievapemart.com.au/product/watermelon-ice-geek-bar-pulse-disposable-vape/
"Geek Bar Pulse Blue Razz Ice 15000 Disposable Vape",30,https://aussievapemart.com.au/product/geek-bar-pulse-blue-razz-ice-15000-disposable-vape/
"Sour Apple Ice Geek Bar Pulse Vape",30,https://aussievapemart.com.au/product/sour-apple-ice-geek-bar-pulse-vape/
"Geek Bar Pulse California Cherry 15000 Disposable Vape",30,https://aussievapemart.com.au/product/geek-bar-pulse-california-cherry-15000-disposable-vape/
